CAT_PERIODO,CODIGO_UNICO,MRUN,GEN_ALU,FEC_NAC_ALU,EDAD_ALU,RANGO_EDAD,AÑO_ING_PRI_AÑO,SEM_ING_PRI_AÑO,AÑO_ING_CARR,SEM_ING_CARR,NOMB_TITULO_OBTENIDO,NOMB_GRADO_OBTENIDO,FECHA_OBTENCION_TITULO,TIPO_INST_1,TIPO_INST_2,TIPO_INST_3,COD_INST,NOMB_INST,COD_SEDE,NOMB_SEDE,COD_CARRERA,NOMB_CARRERA,NIVEL_GLOBAL,NIVEL_CARRERA_1,NIVEL_CARRERA_2,DUR_ESTUDIO_CARR,DUR_PROCESO_TIT,DUR_TOTAL_CARR,REGION_SEDE,PROVINCIA_SEDE,COMUNA_SEDE,JORNADA,MODALIDAD,VERSION,TIPO_PLAN_CARR,AREA_CINEUNESCO,OECD_AREA,OECD_SUBAREA,AREA_CARRERA_GENERICA_N
TIT_2019,I100T2020N5,12574566,1,197708,41,40 Y MÁS AÑOS,2000,1,2000,1,INGENIERO EN GESTION INFORMATICA, ,20191011,INSTITUTOS PROFESIONALES,INSTITUTOS PROFESIONALES,INSTITUTOS PROFESIONALES,100,IP INACAP,24,SEDE VALPARAISO, ,ingenieria en gestion informatica,PREGRADO,PROFESIONAL SIN LICENCIATURA,CARRERAS PROFESIONALES,8,0,8,VALPARAÍSO,VALPARAISO,VALPARAISO,VESPERTINO,PRESENCIAL, ,PLAN REGULAR,TECNOLOGÍA,CIENCIAS,INFORMÁTICA,INGENIERÍA EN COMPUTACIÓN E INFORMÁTICA
TIT_2019,I106S6C286J4V1,3147760,1,199507,23,20 A 24 AÑOS,2017,1,2017,1,TECNICO DE NIVEL SUPERIOR EN INFORMATICA, ,20191108,INSTITUTOS PROFESIONALES,INSTITUTOS PROFESIONALES,INSTITUTOS PROFESIONALES,106,IP PROVIDENCIA,6,SEDE VICUÑA MACKENNA (SANTIAGO VICUÑA MACKENNA 380),286,tecnico de nivel superior en informatica,PREGRADO,TÉCNICO DE NIVEL SUPERIOR,CARRERAS TÉCNICAS,5,1,5,METROPOLITANA,SANTIAGO,PROVIDENCIA,A DISTANCIA,NO PRESENCIAL,1,PLAN REGULAR,TECNOLOGÍA,CIENCIAS,INFORMÁTICA,TÉCNICO EN COMPUTACIÓN E INFORMÁTICA
TIT_2019,I106S6C286J4V1,7812138,1,199606,23,20 A 24 AÑOS,2017,1,2017,1,TECNICO DE NIVEL SUPERIOR EN INFORMATICA, ,20191126,INSTITUTOS PROFESIONALES,INSTITUTOS PROFESIONALES,INSTITUTOS PROFESIONALES,106,IP PROVIDENCIA,6,SEDE VICUÑA MACKENNA (SANTIAGO VICUÑA MACKENNA 380),286,tecnico de nivel superior en informatica,PREGRADO,TÉCNICO DE NIVEL SUPERIOR,CARRERAS TÉCNICAS,5,1,5,METROPOLITANA,SANTIAGO,PROVIDENCIA,A DISTANCIA,NO PRESENCIAL,1,PLAN REGULAR,TECNOLOGÍA,CIENCIAS,INFORMÁTICA,TÉCNICO EN COMPUTACIÓN E INFORMÁTICA
TIT_2019,I106S6C286J4V1,8024858,1,198203,37,35 A 39 AÑOS,2017,1,2017,1,TECNICO DE NIVEL SUPERIOR EN INFORMATICA, ,20191016,INSTITUTOS PROFESIONALES,INSTITUTOS PROFESIONALES,INSTITUTOS PROFESIONALES,106,IP PROVIDENCIA,6,SEDE VICUÑA MACKENNA (SANTIAGO VICUÑA MACKENNA 380),286,tecnico de nivel superior en informatica,PREGRADO,TÉCNICO DE NIVEL SUPERIOR,CARRERAS TÉCNICAS,5,1,5,METROPOLITANA,SANTIAGO,PROVIDENCIA,A DISTANCIA,NO PRESENCIAL,1,PLAN REGULAR,TECNOLOGÍA,CIENCIAS,INFORMÁTICA,TÉCNICO EN COMPUTACIÓN E INFORMÁTICA
TIT_2019,I106S6C286J4V1,15287735,1,196404,55,40 Y MÁS AÑOS,2017,2,2017,2,TECNICO DE NIVEL SUPERIOR EN INFORMATICA, ,20200123,INSTITUTOS PROFESIONALES,INSTITUTOS PROFESIONALES,INSTITUTOS PROFESIONALES,106,IP PROVIDENCIA,6,SEDE VICUÑA MACKENNA (SANTIAGO VICUÑA MACKENNA 380),286,tecnico de nivel superior en informatica,PREGRADO,TÉCNICO DE NIVEL SUPERIOR,CARRERAS TÉCNICAS,5,1,5,METROPOLITANA,SANTIAGO,PROVIDENCIA,A DISTANCIA,NO PRESENCIAL,1,PLAN REGULAR,TECNOLOGÍA,CIENCIAS,INFORMÁTICA,TÉCNICO EN COMPUTACIÓN E INFORMÁTICA
TIT_2019,I106S6C286J4V1,16439229,1,198507,33,30 A 34 AÑOS,2017,1,2017,1,TECNICO DE NIVEL SUPERIOR EN INFORMATICA, ,20200123,INSTITUTOS PROFESIONALES,INSTITUTOS PROFESIONALES,INSTITUTOS PROFESIONALES,106,IP PROVIDENCIA,6,SEDE VICUÑA MACKENNA (SANTIAGO VICUÑA MACKENNA 380),286,tecnico de nivel superior en informatica,PREGRADO,TÉCNICO DE NIVEL SUPERIOR,CARRERAS TÉCNICAS,5,1,5,METROPOLITANA,SANTIAGO,PROVIDENCIA,A DISTANCIA,NO PRESENCIAL,1,PLAN REGULAR,TECNOLOGÍA,CIENCIAS,INFORMÁTICA,TÉCNICO EN COMPUTACIÓN E INFORMÁTICA
TIT_2019,I106S6C286J4V1,17680137,2,198507,33,30 A 34 AÑOS,2017,1,2017,1,TECNICO DE NIVEL SUPERIOR EN INFORMATICA, ,20191121,INSTITUTOS PROFESIONALES,INSTITUTOS PROFESIONALES,INSTITUTOS PROFESIONALES,106,IP PROVIDENCIA,6,SEDE VICUÑA MACKENNA (SANTIAGO VICUÑA MACKENNA 380),286,tecnico de nivel superior en informatica,PREGRADO,TÉCNICO DE NIVEL SUPERIOR,CARRERAS TÉCNICAS,5,1,5,METROPOLITANA,SANTIAGO,PROVIDENCIA,A DISTANCIA,NO PRESENCIAL,1,PLAN REGULAR,TECNOLOGÍA,CIENCIAS,INFORMÁTICA,TÉCNICO EN COMPUTACIÓN E INFORMÁTICA
TIT_2019,I10S4C178J1V1,6183208,1,199305,26,25 A 29 AÑOS,2011,1,2014,1,INGENIERO CIVIL EN COMPUTACION E INFORMATICA,LICENCIADO EN CIENCIAS DE LA INGENIERIA,20191227,UNIVERSIDADES,UNIVERSIDADES PRIVADAS,UNIVERSIDADES PRIVADAS,10,UNIVERSIDAD MAYOR,4,SEDE TEMUCO,178,ingenieria civil en computacion e informatica,PREGRADO,PROFESIONAL CON LICENCIATURA,CARRERAS PROFESIONALES,10,1,11,LA ARAUCANÍA,CAUTIN,TEMUCO,DIURNO,PRESENCIAL,1,PLAN REGULAR,TECNOLOGÍA,CIENCIAS,INFORMÁTICA,INGENIERÍA CIVIL EN COMPUTACIÓN E INFORMÁTICA
TIT_2019,I10S4C178J1V1,14412979,1,199102,28,25 A 29 AÑOS,2012,1,2012,1,INGENIERO CIVIL EN COMPUTACION E INFORMATICA,LICENCIADO EN CIENCIAS DE LA INGENIERIA,20190427,UNIVERSIDADES,UNIVERSIDADES PRIVADAS,UNIVERSIDADES PRIVADAS,10,UNIVERSIDAD MAYOR,4,SEDE TEMUCO,178,ingenieria civil en computacion e informatica,PREGRADO,PROFESIONAL CON LICENCIATURA,CARRERAS PROFESIONALES,10,1,11,LA ARAUCANÍA,CAUTIN,TEMUCO,DIURNO,PRESENCIAL,1,PLAN REGULAR,TECNOLOGÍA,CIENCIAS,INFORMÁTICA,INGENIERÍA CIVIL EN COMPUTACIÓN E INFORMÁTICA
TIT_2019,I10S4C178J1V1,19688488,1,199308,25,25 A 29 AÑOS,2012,1,2012,1,INGENIERO CIVIL EN COMPUTACION E INFORMATICA,LICENCIADO EN CIENCIAS DE LA INGENIERIA,20190427,UNIVERSIDADES,UNIVERSIDADES PRIVADAS,UNIVERSIDADES PRIVADAS,10,UNIVERSIDAD MAYOR,4,SEDE TEMUCO,178,ingenieria civil en computacion e informatica,PREGRADO,PROFESIONAL CON LICENCIATURA,CARRERAS PROFESIONALES,10,1,11,LA ARAUCANÍA,CAUTIN,TEMUCO,DIURNO,PRESENCIAL,1,PLAN REGULAR,TECNOLOGÍA,CIENCIAS,INFORMÁTICA,INGENIERÍA CIVIL EN COMPUTACIÓN E INFORMÁTICA
